review,rating,date,bank,source
"I don't like the new upgrade of the app, the other way was much simpler",1,2025-05-31,Chase,Google Play Store
keep up the excellent service,5,2025-05-31,Chase,Google Play Store
best credit card I have,5,2025-05-31,Chase,Google Play Store
Ok,5,2025-05-31,Chase,Google Play Store
"Galaxy S25 Ultra This is probably the most user friendly banking app I use. It just barely edges out my Navy Federal app. Time is a resource I have little of. Between my 1 hour each way commute to and from work and 10hr work day. I need an app that is straight forward and leaves me with well, to borrow an old Staples slogan: ""That was easy.""-Staples early 2000's. It seems my other apps work on minutes, this app works on seconds. It's stopwatch vs sundial.",5,2025-05-31,Chase,Google Play Store
don't like it,1,2025-05-31,Chase,Google Play Store
"I love the points. App/payments are easy. Just try to pay it off every month, and enjoy the rewards. It's one of my favorite cards. And the one I use most often.",4,2025-05-31,Chase,Google Play Store
"It's a good app overall. However, searching for a particular transaction is cumbersome. I wish, like in most other banking apps, searching or filtering transactions by keyword was an option.",3,2025-05-31,Chase,Google Play Store
I'm very pleased with the service provided by. Chase.,5,2025-05-31,Chase,Google Play Store
I switched to Chase after being a PNC customer for years. I really appreciate Chase banking and the great service it provides.,5,2025-05-31,Chase,Google Play Store
do not want others knowing my information. my identity has been utilized twice bad ideal.,2,2025-05-31,Chase,Google Play Store
good app,4,2025-05-31,Chase,Google Play Store
great,5,2025-05-31,Chase,Google Play Store
This is the best app to use and track your credit.,5,2025-05-31,Chase,Google Play Store
"awesome company, never disappointed",5,2025-05-31,Chase,Google Play Store
this app is very important to me being a disabled person with no transportation this app is the only way I can tend to my banking and business transactions to make it through life $1 at a time. thanks Chase,5,2025-05-31,Chase,Google Play Store
Stopped autofilling my password,1,2025-05-31,Chase,Google Play Store
Excellent,5,2025-05-31,Chase,Google Play Store
better than I thought. I was hesitant but feeling better now.,5,2025-05-31,Chase,Google Play Store
"Another way for chase to push unavoidable marketing on people who are already customers. The app is riddled with ads and popups for loan and credit services and there's no way to disable the neverending onslaught of spam. I'm currently in the process of closing all my chase accounts just so I can get away from their completely unregulated spam. I've written their marketing department at length about this issue, they don't care about what they are doing to their customers. Still true June 2025.",1,2025-05-30,Chase,Google Play Store
